name,occupation,email,website,twitter,linkedin,bio,ted_url
Jennifer Aaker,,,,https://twitter.com/tedtalks,https://www.linkedin.com/in/jaaker/,,https://www.ted.com/speakers/jennifer_aaker
Sandra Aamodt,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/sandra_aamodt
Morra Aarons-Mele,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/morra_aarons_mele
Trevor Aaronson,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/trevor_aaronson
Chris Abani,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/chris_abani
Makhtoum Abdalla,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/makhtoum_abdalla
Simona Abdallah,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/simona_abdallah
Yassmin Abdel-Magied,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/yassmin_abdel_magied
Rana Abdelhamid,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/rana_abdelhamid
Shameran Abed,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/shameran_abed
Karim Abouelnaga,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/karim_abouelnaga
Mark Abraham,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/mark_abraham
Marc Abrahams,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/marc_abrahams
Marina Abramović,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/marina_abramovic
Eve Abrams,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/eve_abrams
J.J. Abrams,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/j_j_abrams
Stacey Abrams,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/stacey_abrams
José Antonio Abreu,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/jose_antonio_abreu
Thomas Abt,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/thomas_abt
Aziz Abu Sarah,,,,https://twitter.com/tedtalks,,,https://www.ted.com/speakers/aziz_abu_sarah
